target,prb_id,result1,result2,result3,result4,result5,,,,,
targetIP=173.223.11.176,31575,19.16967,19.010855,19.02281,18.658515,19.26585,,,,,
targetIP=92.123.226.48,31577,6.851545,6.72289,6.632,6.67516,6.62357,,,,,
targetIP=193.51.224.8,13842,3.257755,1.03545,1.02676,1.022875,1.016805,,,,,
targetIP=203.5.76.26,19103,1.11413,0.88443,0.933865,0.83525,0.76147,,,,,
targetIP=88.221.134.35,19104,3.96813,3.77752,3.827875,3.74663,3.7084,,,,,
targetIP=2.21.77.91,31902,14.524815,13.696835,15.57916,21.726255,46.028365,,,,,
targetIP=87.245.213.57,35218,17.09659,17.00913,16.99468,16.979855,17.00665,,,,,
targetIP=188.43.74.162,35219,2.33163,2.40154,1.99471,2.47337,1.885995,,,,,
targetIP=203.26.28.153,35214,17.163365,16.89564,17.56124,16.90307,16.88643,,,,,
targetIP=213.136.45.49,23264,5.23307,4.939135,4.89287,4.89676,4.99063,,,,,
targetIP=92.123.155.49,23262,9.569195,9.53709,9.5495,9.5034,9.493915,,,,,
targetIP=212.126.99.6,11560,1.175425,0.62282,0.66829,0.639535,0.706305,,,,,
targetIP=81.167.39.187,11561,10.94033,10.82842,10.85223,10.8965,10.884255,,,,,
targetIP=91.135.34.26,11562,4.54432,1.215095,1.425825,1.192315,1.447485,,,,,
targetIP=92.123.72.17,11563,3.55332,3.394685,3.343785,3.31867,3.32708,,,,,
targetIP=173.222.108.24,22247,12.60918,11.655115,11.77241,12.798335,12.88183,,,,,
targetIP=2.21.78.210,14529,5.350455,4.717995,4.72969,4.408325,4.330395,,,,,
targetIP=49.231.57.34,22242,29.895225,29.84974,30.04229,29.884055,29.723155,,,,,
targetIP=65.158.47.74,25737,31.07913,30.6726,30.479805,30.793695,30.70623,,,,,
targetIP=184.84.220.177,25043,10.05205,19.4317,14.18823,11.491755,18.028395,,,,,
targetIP=23.215.128.35,34547,11.82138,11.653825,11.769255,11.600745,11.67304,,,,,
targetIP=92.123.72.17,27398,22.452605,8.709995,9.02727,8.83626,8.85152,,,,,
targetIP=212.6.86.90,27394,6.669215,6.08526,6.041475,6.25307,6.47277,,,,,
targetIP=37.110.193.144,22998,21.362605,21.065115,21.092185,21.29969,21.069705,,,,,
targetIP=95.100.252.42,32608,2.473155,2.364395,2.38245,2.382875,2.36121,,,,,
targetIP=62.165.164.155,258,327.420738,36.798728,56.628492,55.683851,36.56372,,,,,
targetIP=80.239.217.57,32609,25.860535,25.823955,25.81507,25.807365,25.754405,,,,,
targetIP=88.221.112.168,32070,10.06768,9.93796,9.99102,10.039525,9.99469,,,,,
targetIP=82.94.229.17,16233,4.0757,3.891165,3.870035,3.87492,3.975205,,,,,
targetIP=92.122.48.18,16720,7.507255,7.227825,7.18288,7.20075,7.18229,,,,,
